Category,Verb,Object,Temp,Difficulty,Desc,,,,,,,,
Everyday Actions,Walk,something meaningful,In the Next Hour,Easy,Who wouldn't want to Walk something meaningful in the next hour?,,,,,,,,
Everyday Actions,Walk,an idea,Today,Easy,Make it happen: Walk an idea Today.,,,,,,,,
Everyday Actions,Walk,a challenge,In the Next Hour,Hard,Make it happen: Walk a challenge in the next hour.,,,,,,,,
Everyday Actions,Run,a marathon,Now,Hard,Who wouldn't want to Run a marathon Now?,,,,,,,,
Everyday Actions,Run,to the store,Now,Easy,Why not Run to the store Now? It's a great way to shake things up!,,,,,,,,
Everyday Actions,Run,on the beach,In the Next Hour,Easy,"Think carefully, or just Run on the beach in the next hour.",,,,,,,,Verb + Object + Temporalité
Everyday Actions,Run,through the park,Now,Easy,"Think carefully, or just Run through the park Now.",,,,,,,,
Everyday Actions,Run,a race,Now,Hard,Sometimes all you need is to Run a race Now.,,,,,,,,
Everyday Actions,Run,on a treadmill,Today,Hard,"Think carefully, or just Run on a treadmill Today.",,,,,,,,
Everyday Actions,Run,to catch a bus,In the Next Hour,Easy,Why not Run to catch a bus in the next hour? It's a great way to shake things up!,,,,,,,,
Everyday Actions,Run,around the block,Now,Hard,Run around the block Now might just be the highlight of your day.,,,,,,,,
Everyday Actions,Run,to your friend's house,Today,Easy,"Think carefully, or just Run to your friend's house Today.",,,,,,,,
Everyday Actions,Run,a relay race,In the Next Hour,Hard,Who wouldn't want to Run a relay race in the next hour?,,,,,,,,
Everyday Actions,Run,in the rain,Now,Easy,Sometimes all you need is to Run in the rain Now.,,,,,,,,
Everyday Actions,Run,up a hill,Now,Hard,Make it happen: Run up a hill Now.,,,,,,,,
Everyday Actions,Run,a charity run,Today,Easy,Run a charity run Today might just be the highlight of your day.,,,,,,,,
Everyday Actions,Run,to escape a dog,Now,Hard,Who wouldn't want to Run to escape a dog Now?,,,,,,,,
Everyday Actions,Run,to burn calories,In the Next Hour,Hard,Life's short : Run to burn calories in the next hour sounds perfect.,,,,,,,,
Everyday Actions,Run,to a meeting,Today,Hard,Make it happen: Run to a meeting Today.,,,,,,,,
Everyday Actions,Drink,water,In the Next Hour,Easy,Why not Drink water in the next hour? It's a great way to shake things up!,,,,,,,,
Everyday Actions,Drink,coffee,Today,Easy,Take the plunge and Drink coffee Today.,,,,,,,,
Everyday Actions,Drink,tea,Now,Hard,Drink tea Now. sounds like the perfect idea for Today.,,,,,,,,
Everyday Actions,Drink,a smoothie,Today,Hard,Take the plunge and Drink a smoothie Today.,,,,,,,,
Everyday Actions,Drink,orange juice,Now,Easy,Take the plunge and Drink orange juice Now.,,,,,,,,
Everyday Actions,Drink,a milkshake,Now,Easy,"Think carefully, or just Drink a milkshake Now.",,,,,,,,
Everyday Actions,Drink,soda,Now,Easy,Who wouldn't want to Drink soda Now?,,,,,,,,
Everyday Actions,Drink,wine,In the Next Hour,Easy,Drink wine in the next hour might just be the highlight of your day.,,,,,,,,
Everyday Actions,Drink,a protein shake,Now,Hard,Drink a protein shake Now. sounds like the perfect idea for Today.,,,,,,,,
